FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_48752|TPO_consensed_contig_106427,21,4,7,0,4,0,4,0,2,1
TDU_consensed_contig_101610|TPO_consensed_contig_16147,0,0,0,65,0,0,0,110,0,0
TDU_consensed_contig_3076|TPO_consensed_contig_4409,885,216,7,1,374,2,13,0,153,23
TDU_consensed_contig_86268|TPO_consensed_contig_109535,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12660|TPO_consensed_contig_35704,268,47,0,0,103,2,2,1,67,5
TDU_consensed_contig_36157|TPO_consensed_contig_32174,198,17,28,5,170,2,9,7,55,8
TDU_consensed_contig_35369|TPO_consensed_contig_85862,264,56,14,1,93,1,8,73,29,5
TDU_consensed_contig_33692|TPO_consensed_contig_46821,205,35,0,2,160,3,7,59,81,2
TDU_consensed_contig_69335|TPO_consensed_contig_9777,76,34,7,656,55,1,69,2042,162,26
TDU_consensed_contig_27762|TPO_consensed_contig_116132,823,98,3059,1,525,4,945,2,203,17
TDU_consensed_contig_45813|TPO_consensed_contig_12048,0,0,925,0,5,0,223,0,0,0
TDU_consensed_contig_71767|TPO_consensed_contig_114694,0,0,5,8,0,0,9,27,0,0
TDU_consensed_contig_59196|TPO_consensed_contig_84448,26,4,0,166,13,0,0,237,5,0
TDU_consensed_contig_40284|TPO_consensed_contig_111118,0,0,0,28,0,0,0,4,0,0
TDU_consensed_contig_56821|TPO_consensed_contig_19898,11,9,0,0,57,0,2,3,9,0
TDU_consensed_contig_59592|TPO_consensed_contig_32672,154,11,2,0,404,2,9,0,106,13
TDU_consensed_contig_80707|TPO_consensed_contig_12642,4297,488,42,1,2448,23,85,16,938,74
TDU_consensed_contig_68449|TPO_consensed_contig_91407,323,29,856,3,124,3,200,1,33,12
TDU_consensed_contig_68151|TPO_consensed_contig_33765,2017,283,30,1191,736,14,43,1000,395,40
TDU_consensed_contig_60664|TPO_consensed_contig_28309,4,0,0,1,3,0,0,1,2,0
TDU_consensed_contig_56748|TPO_consensed_contig_9392,93,3,5613,0,140,1,1533,2,70,24
TDU_consensed_contig_11053|TPO_consensed_contig_39553,5775,1089,103,15,4995,48,145,29,2001,161
TDU_consensed_contig_4745|TPO_consensed_contig_27969,70,11,10,20,46,1,0,36,13,1
TDU_consensed_contig_37494|TPO_consensed_contig_37012,4077,1343,33,3,2346,18,90,9,1099,104
TDU_consensed_contig_39883|TPO_consensed_contig_26319,71,20,2004,0,21,6,507,0,32,2
TDU_consensed_contig_38951|TPO_consensed_contig_88491,0,0,0,137,0,0,0,93,0,0
TDU_consensed_contig_38948|TPO_consensed_contig_17905,0,0,29,2,0,0,5,0,0,0
TDU_consensed_contig_8405|TPO_consensed_contig_33570,2287,253,70,2,3826,27,109,20,1216,102
TDU_consensed_contig_46251|TPO_consensed_contig_32522,137,21,2,1,117,0,4,1,38,4
TDU_consensed_contig_34448|TPO_consensed_contig_43120,14,2,0,0,14,0,2,1,11,1
TDU_consensed_contig_57117|TPO_consensed_contig_85400,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_57333|TPO_consensed_contig_17762,376,25,18,237,377,5,82,557,133,10
TDU_consensed_contig_16521|TPO_consensed_contig_16031,10,1,0,5,0,0,0,2,0,0
TDU_consensed_contig_8604|TPO_consensed_contig_16601,460,93,0,1,52,3,0,1,26,4
TDU_consensed_contig_75042|TPO_consensed_contig_10293,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_56911|TPO_consensed_contig_37656,1482,208,10,837,714,19,28,586,244,22
TDU_consensed_contig_35746|TPO_consensed_contig_13623,78,13,9,0,143,4,8,1,25,1
TDU_consensed_contig_16676|TPO_consensed_contig_13149,81,17,1,3,50,31,8,9,26,10
TDU_consensed_contig_104154|TPO_consensed_contig_24645,0,0,0,5612,0,0,2,5478,0,0
TDU_consensed_contig_86271|TPO_consensed_contig_59209,1,0,26,0,16,0,11,9,3,0
TDU_consensed_contig_28098|TPO_consensed_contig_32709,211,35,8,1,263,5,13,25,109,8
TDU_consensed_contig_40286|TPO_consensed_contig_17932,284,58,0,0,10,0,2,5,7,0
TDU_consensed_contig_67353|TPO_consensed_contig_71040,0,0,205,73,0,0,29,64,0,0
TDU_consensed_contig_6837|TPO_consensed_contig_38786,17,3,0,17210,218,0,9,40323,117,1
TDU_consensed_contig_33969|TPO_consensed_contig_43357,67,20,9,0,16,0,21,0,12,3
TDU_consensed_contig_38793|TPO_consensed_contig_13302,0,0,0,91,0,0,0,146,0,0
TDU_consensed_contig_72992|TPO_consensed_contig_83367,0,0,0,229,0,0,0,138,0,0
TDU_consensed_contig_28679|TPO_consensed_contig_46903,42,3,3,0,44,0,2,0,11,0
TDU_consensed_contig_32845|TPO_consensed_contig_16196,50,4,282,0,12,0,98,0,5,1
TDU_consensed_contig_75315|TPO_consensed_contig_27827,276,76,3,0,169,0,23,0,74,5
TDU_consensed_contig_102617|TPO_consensed_contig_18635,0,0,0,273,0,0,0,610,0,0
TDU_consensed_contig_60325|TPO_consensed_contig_13545,16,5,0,0,17,1,0,12,8,5
TDU_consensed_contig_9119|TPO_consensed_contig_37763,79,24,0,0,44,0,3,0,16,6
TDU_consensed_contig_36823|TPO_consensed_contig_38920,38,2,3,9,46,0,1,30,21,5
TDU_consensed_contig_12946|TPO_consensed_contig_38940,102,7,5,0,112,0,10,1,37,2
TDU_consensed_contig_12496|TPO_consensed_contig_37721,1050,127,2866,1,566,6,994,1,300,22
TDU_consensed_contig_75477|TPO_consensed_contig_11577,15,0,0,1055,3,0,0,1074,5,0
TDU_consensed_contig_39516|TPO_consensed_contig_42256,7,0,58,4,7,0,10,13,6,0
TDU_consensed_contig_34338|TPO_consensed_contig_18819,2,2,0,0,3,2,0,4,4,1
TDU_consensed_contig_60709|TPO_consensed_contig_84476,704,122,2,1,314,2,4,1,84,7
TDU_consensed_contig_2774|TPO_consensed_contig_84555,2850,427,53,15,2307,194,56,49,826,156
TDU_consensed_contig_101853|TPO_consensed_contig_16816,1054,198,39,2,1027,6,54,4,453,22
TDU_consensed_contig_64901|TPO_consensed_contig_28516,7,0,0,0,8,0,0,0,3,0
TDU_consensed_contig_39518|TPO_consensed_contig_96969,243,30,195,2,121,1,86,2,51,2
TDU_consensed_contig_101581|TPO_consensed_contig_34949,0,0,0,299,0,0,2,641,0,0
TDU_consensed_contig_100763|TPO_consensed_contig_21833,0,0,0,53,3,0,0,100,3,0
TDU_consensed_contig_64381|TPO_consensed_contig_89508,2,0,12,0,3,0,6,0,0,0
TDU_consensed_contig_47301|TPO_consensed_contig_86180,21,0,4,0,4,0,0,1,3,1
TDU_consensed_contig_12648|TPO_consensed_contig_16316,32,0,380,0,34,0,149,0,20,3
TDU_consensed_contig_12371|TPO_consensed_contig_84318,1766,410,4,1,473,4,16,1,199,16
TDU_consensed_contig_39928|TPO_consensed_contig_58582,0,0,271,0,1,0,79,0,0,0
TDU_consensed_contig_18461|TPO_consensed_contig_39694,0,0,2,41,0,0,3,2,0,0
TDU_consensed_contig_33436|TPO_consensed_contig_27538,3823,532,19,3,1229,21,47,4,569,46
TDU_consensed_contig_102177|TPO_consensed_contig_20130,57,2,0,0,31,2,0,0,13,0
TDU_consensed_contig_33688|TPO_consensed_contig_34221,397,53,0,0,217,7,12,2,126,25
TDU_consensed_contig_18692|TPO_consensed_contig_108159,0,0,13,0,0,0,4,0,0,0
TDU_consensed_contig_56846|TPO_consensed_contig_34589,73,11,0,569,4,0,0,524,5,2
TDU_consensed_contig_13355|TPO_consensed_contig_100955,26,8,1,0,23,1,2,0,4,2
TDU_consensed_contig_86970|TPO_consensed_contig_111565,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_20226|TPO_consensed_contig_42203,539,98,1,238,136,0,0,191,102,5
TDU_consensed_contig_88810|TPO_consensed_contig_116113,0,0,803,0,3,0,210,0,0,0
TDU_consensed_contig_61588|TPO_consensed_contig_105827,44,13,106,0,5,0,37,0,11,4
TDU_consensed_contig_101945|TPO_consensed_contig_68391,0,0,19,0,0,0,8,0,0,0
TDU_consensed_contig_27936|TPO_consensed_contig_35859,551,117,3,0,203,2,5,0,63,2
TDU_consensed_contig_19428|TPO_consensed_contig_40171,265,44,0,1326,50,1,4,958,25,1
TDU_consensed_contig_8472|TPO_consensed_contig_16638,44,5,673,0,14,0,156,0,3,1
TDU_consensed_contig_16874|TPO_consensed_contig_58867,8141,1481,150,7,2263,20,121,15,1043,124
TDU_consensed_contig_45868|TPO_consensed_contig_35616,2690,446,15,0,1127,15,25,7,495,48
TDU_consensed_contig_9216|TPO_consensed_contig_47340,2,0,0,73,8,0,1,121,0,1
TDU_consensed_contig_36218|TPO_consensed_contig_95174,691,109,3,439,199,4,110,390,117,3
TDU_consensed_contig_91839|TPO_consensed_contig_66236,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_34888|TPO_consensed_contig_91844,148,23,0,0,47,1,1,0,32,3
TDU_consensed_contig_57766|TPO_consensed_contig_28199,48,6,3,0,7,0,0,2,0,0
TDU_consensed_contig_37324|TPO_consensed_contig_36079,364,52,4,5,254,2,7,5,98,16
TDU_consensed_contig_82274|TPO_consensed_contig_102463,408,24,3848,0,387,2,1369,3,134,17
TDU_consensed_contig_69610|TPO_consensed_contig_9736,18,1,0,0,38,3,0,0,12,0
TDU_consensed_contig_62134|TPO_consensed_contig_19579,35,1,15,1,40,0,7,1,7,1
TDU_consensed_contig_45014|TPO_consensed_contig_8890,232,38,2,0,31,0,1,2,21,1
TDU_consensed_contig_33119|TPO_consensed_contig_35778,63,15,265,0,1,0,59,0,0,0
TDU_consensed_contig_27373|TPO_consensed_contig_59761,1,0,1549,0,29,0,648,0,86,2
TDU_consensed_contig_40824|TPO_consensed_contig_41222,6,0,0,148,2,1,0,331,0,0
TDU_consensed_contig_68824|TPO_consensed_contig_88006,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_59544|TPO_consensed_contig_101475,180,30,199,0,48,1,77,0,12,0
TDU_consensed_contig_23462|TPO_consensed_contig_85074,386,54,9,47,328,7,11,54,129,16
TDU_consensed_contig_59252|TPO_consensed_contig_10000,4614,899,44,9,1358,11,39,5,757,68
TDU_consensed_contig_59187|TPO_consensed_contig_100864,530,55,9,0,406,3,15,5,172,15
TDU_consensed_contig_74326|TPO_consensed_contig_47243,73,12,1,0,38,1,2,1,15,2
TDU_consensed_contig_59383|TPO_consensed_contig_91061,60296,16703,13,26,176,20,71,8,30,50
TDU_consensed_contig_45891|TPO_consensed_contig_83920,194,46,4,0,235,1,7,0,46,7
TDU_consensed_contig_80841|TPO_consensed_contig_85983,147,24,1,222,99,0,3,393,43,6
TDU_consensed_contig_74539|TPO_consensed_contig_37333,205,30,100,2,139,5,26,0,51,6
TDU_consensed_contig_84445|TPO_consensed_contig_40014,13,5,0,0,0,0,1,0,0,0
TDU_consensed_contig_38621|TPO_consensed_contig_16099,48,14,6,0,78,1,9,1,33,1
TDU_consensed_contig_24387|TPO_consensed_contig_62642,0,0,412,0,1,0,124,0,1,0
TDU_consensed_contig_73880|TPO_consensed_contig_20205,84,10,413,0,13,0,87,0,6,0
TDU_consensed_contig_42577|TPO_consensed_contig_49292,38,14,3,0,29,1,3,0,15,1
TDU_consensed_contig_27733|TPO_consensed_contig_16166,563,86,9,1,532,9,28,2,259,26
TDU_consensed_contig_75131|TPO_consensed_contig_37525,0,0,37,0,0,0,13,0,0,0
TDU_consensed_contig_13259|TPO_consensed_contig_13948,104,20,0,0,16,1,1,0,14,0
TDU_consensed_contig_17519|TPO_consensed_contig_58392,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_8818|TPO_consensed_contig_13036,6426,993,7,7,1126,10,33,8,772,73
TDU_consensed_contig_9953|TPO_consensed_contig_47330,0,0,0,122,0,0,0,88,0,0
TDU_consensed_contig_7293|TPO_consensed_contig_37856,34,0,1054,30,5,2,264,14,3,0
TDU_consensed_contig_74796|TPO_consensed_contig_89874,308,27,6,2,298,0,11,2,101,5
TDU_consensed_contig_35545|TPO_consensed_contig_107904,1472,236,23,3,1128,12,36,8,383,36
TDU_consensed_contig_74127|TPO_consensed_contig_106173,1397,330,6,0,820,5,33,14,283,27
TDU_consensed_contig_100459|TPO_consensed_contig_10703,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_13517|TPO_consensed_contig_38353,6,1,0,1,20,3,5,5,10,1
TDU_consensed_contig_15885|TPO_consensed_contig_12447,29,2,0,1,11,0,0,3,4,0
TDU_consensed_contig_69277|TPO_consensed_contig_65498,0,0,9,19,0,0,4,340,0,0
TDU_consensed_contig_38977|TPO_consensed_contig_16040,439,92,7,1,264,2,13,17,110,12
TDU_consensed_contig_7261|TPO_consensed_contig_8675,911,110,30,1,640,7,20,5,239,7
TDU_consensed_contig_17492|TPO_consensed_contig_16892,886,204,14,36,620,12,29,50,303,16
TDU_consensed_contig_75151|TPO_consensed_contig_107176,0,0,0,215,0,0,0,161,0,0
TDU_consensed_contig_43796|TPO_consensed_contig_71372,0,0,24,18,0,0,7,55,0,0
